id,clubId,name,age,bornDate,url
3832,97,Mauro Couto,19,15/11/2005,https://www.transfermarkt.es/mauro-couto/profil/spieler/1056907
3833,97,Viktor Gyökeres,27,04/06/1998,https://www.transfermarkt.es/viktor-gyokeres/profil/spieler/325443
3834,97,Conrad Harder,20,07/04/2005,https://www.transfermarkt.es/conrad-harder/profil/spieler/807386
3835,97,Rodrigo Ribeiro,20,28/04/2005,https://www.transfermarkt.es/rodrigo-ribeiro/profil/spieler/726701
3836,97,Lucas Anjos,20,07/07/2004,https://www.transfermarkt.es/lucas-anjos/profil/spieler/670686
3837,97,Gabriel Silva,18,09/04/2007,https://www.transfermarkt.es/gabriel-silva/profil/spieler/1006454
3838,97,Rafael Nel,20,03/04/2005,https://www.transfermarkt.es/rafael-nel/profil/spieler/1057523
3839,98,Anatoliy Trubin,23,01/08/2001,https://www.transfermarkt.es/anatoliy-trubin/profil/spieler/537844
3840,98,Samuel Soares,23,15/06/2002,https://www.transfermarkt.es/samuel-soares/profil/spieler/504072
3841,98,André Gomes,20,20/10/2004,https://www.transfermarkt.es/andre-gomes/profil/spieler/670710
3842,98,Diogo Ferreira,18,10/02/2007,https://www.transfermarkt.es/diogo-ferreira/profil/spieler/801446
3843,98,Tomás Araújo,23,16/05/2002,https://www.transfermarkt.es/tomas-araujo/profil/spieler/504087
3844,98,António Silva,21,30/10/2003,https://www.transfermarkt.es/antonio-silva/profil/spieler/650568
3845,98,Morato,24,30/06/2001,https://www.transfermarkt.es/morato/profil/spieler/673492
3846,98,Adrian Bajrami,23,05/04/2002,https://www.transfermarkt.es/adrian-bajrami/profil/spieler/582987
3847,98,Joshua Wynder,20,02/05/2005,https://www.transfermarkt.es/joshua-wynder/profil/spieler/866086
3848,98,Gustavo Marques,23,09/10/2001,https://www.transfermarkt.es/gustavo-marques/profil/spieler/977465
3849,98,Nicolás Otamendi ,37,12/02/1988,https://www.transfermarkt.es/nicolas-otamendi/profil/spieler/54781
3850,98,João Fonseca,18,31/08/2006,https://www.transfermarkt.es/joao-fonseca/profil/spieler/983554
3851,98,Gonçalo Oliveira,18,04/07/2006,https://www.transfermarkt.es/goncalo-oliveira/profil/spieler/1078918
3852,98,Álvaro Carreras,22,23/03/2003,https://www.transfermarkt.es/alvaro-carreras/profil/spieler/811778
3853,98,Samuel Dahl,22,04/03/2003,https://www.transfermarkt.es/samuel-dahl/profil/spieler/605396
3854,98,Tiago Parente,19,12/06/2006,https://www.transfermarkt.es/tiago-parente/profil/spieler/1093811
3855,98,Alexander Bah ,27,09/12/1997,https://www.transfermarkt.es/alexander-bah/profil/spieler/452607
3856,98,Issa Kaboré,24,12/05/2001,https://www.transfermarkt.es/issa-kabore/profil/spieler/649452
3857,98,Leandro Santos,19,28/09/2005,https://www.transfermarkt.es/leandro-santos/profil/spieler/1173926
3858,98,Florentino,25,19/08/1999,https://www.transfermarkt.es/florentino/profil/spieler/357162
